index,company,code
275,휴맥스,115160
276,희림,037440
292,CJ대한통운,000120
293,CJ제일제당,097950
294,GS리테일,007070
295,KB금융,105560
296,KPX케미칼,025000
297,KR모터스,000040
298,KTcs,058850
299,LS전선아시아,229640
300,LX홀딩스,383800
301,SK렌터카,068400
302,SPC삼립,005610
303,강원랜드,035250
304,교보증권,030610
305,금강공업,014280
306,금호건설,002990
307,금호전기,001210
308,기업은행,024110
309,남성,004270
310,넷마블,251270
311,대구백화점,006370
312,대영포장,014160
313,대원제약,003220
314,대한방직,001070
315,대한제당,001790
316,대한해운,005880
317,덕양산업,024900
318,동원F&B,049770
319,동원금속,018500
320,디씨엠,024090
321,디티알오토모티브,007340
322,롯데제과,280360
323,롯데하이마트,071840
324,백산,035150
325,보락,002760
326,빙그레,005180
327,사조대림,003960
328,사조동아원,008040
329,삼진제약,005500
330,서원,021050
331,세방,004360
332,세아홀딩스,058650
333,세우글로벌,013000
334,세이브존I&C,067830
335,솔루스첨단소재,336370
336,신송홀딩스,006880
337,신일전자,002700
338,신풍제약,019170
339,아이마켓코리아,122900
341,엔씨소프트,036570
342,영보화학,014440
343,영진약품,003520
344,영풍,000670
345,우리금융캐피탈,033660
346,유니온머티리얼,047400
347,이수화학,005950
348,이스타코,015020
349,인천도시가스,034590
350,일동홀딩스,000230
351,지엠비코리아,013870
352,케이씨텍,281820
353,코리아써키트,007810
354,코스모화학,005420
355,코아스,071950
356,코오롱,002020
357,코오롱플라스틱,138490
358,쿠쿠홀딩스,192400
359,큐로,015590
360,태영건설,009410
362,포스코케미칼,003670
363,한국금융지주,071050
364,한국전자홀딩스,006200
365,한국종합기술,023350
366,한국주철관,000970
367,한국콜마,161890
368,한국타이어앤테크놀로지,161390
369,한국토지신탁,034830
370,한국프랜지,010100
371,한온시스템,018880
372,한올바이오파마,009420
373,해태제과식품,101530
374,현대에너지솔루션,322000
375,호텔신라,008770
376,화승알앤에이,378850
377,화승인더,006060
378,화천기공,000850
379,환인제약,016580
380,효성,004800
381,효성화학,298000
382,흥아해운,003280
383,APS홀딩스,054620
384,CBI,013720
385,CS,065770
386,CSA 코스믹,083660
387,HB솔루션,297890
388,HRS,036640
389,NHN벅스,104200
390,NICE평가정보,030190
391,PN풍년,024940
392,RF머트리얼즈,327260
393,SM C&C,048550
394,THQ,192410
395,TS트릴리온,317240
396,갤럭시아머니트리,094480
397,경남제약헬스케어,223310
398,고영,098460
399,국영지앤엠,006050
400,나노엔텍,039860
401,나이벡,138610
402,남화토건,091590
403,네오팜,092730
404,넥스틴,348210
405,넵튠,217270
406,노바렉스,194700
407,뉴로스,126870
408,대성파인텍,104040
409,대아티아이,045390
410,대양제지,006580
411,대주전자재료,078600
412,대창솔루션,096350
413,덕산네오룩스,213420
414,동국S&C,100130
415,동국산업,005160
416,동아엘텍,088130
417,디딤,217620
418,디알텍,214680
419,디엠티,134580
420,디오,039840
421,딜리,131180
422,럭슬,033600
423,레드캡투어,038390
424,레이언스,228850
425,로보로보,215100
426,루트로닉,085370
427,리더스코스메틱,016100
428,릭스솔루션,029480
429,매일홀딩스,005990
430,머큐리,100590
431,메디앙스,014100
432,메디프론,065650
433,메타바이오메드,059210
434,멕아이씨에스,058110
435,멜파스,096640
436,모두투어,080160
437,무림SP,001810
438,미래에셋벤처투자,100790
439,바이오로그디바이스,208710
440,박셀바이오,323990
441,부스타,008470
442,비트컴퓨터,032850
443,삼륭물산,014970
444,삼양옵틱스,225190
445,삼일,032280
446,삼일기업공사,002290
447,삼지전자,037460
448,삼진,032750
449,삼표시멘트,038500
450,삼화네트웍스,046390
451,상보,027580
452,상신이디피,091580
453,서호전기,065710
454,성우하이텍,015750
455,세경하이테크,148150
456,세명전기,017510
457,셀바스AI,108860
458,손오공,066910
459,솔루에타,154040
460,솔브레인,357780
461,슈프리마,236200
462,스튜디오드래곤,253450
463,시스웍,269620
464,신라에스지,025870
465,신라젠,215600
466,신한제6호스팩,333050
467,씨앤투스성진,352700
468,씨이랩,189330
469,씨티케이,260930
470,아가방컴퍼니,013990
471,아래스,050320
472,아모텍,052710
473,아미코젠,092040
474,아이에이,038880
475,아이엠,101390
476,아이퀘스트,262840
477,액트로,290740
478,앱코,129890
479,에스에스알,275630
480,에스엘바이오닉스,214310
481,에스티팜,237690
482,에프알텍,073540
483,엠에프엠코리아,323230
484,연이비앤티,090740
485,영신금속,007530
486,예림당,036000
487,오성첨단소재,052420
488,오션브릿지,241790
489,와이더플래닛,321820
490,와이지-원,019210
491,우리손에프앤지,073560
492,우림기계,101170
493,우수AMS,066590
494,원익큐브,014190
495,원일특강,012620
496,윈하이텍,192390
497,윌링스,313760
498,유니테스트,086390
499,유바이오로직스,206650
500,유안타제8호스팩,367480
501,육일씨엔에쓰,191410
502,이글루시큐리티,067920
503,이글벳,044960
504,이녹스,088390
505,이랜시스,264850
506,이삭엔지니어링,351330
507,이엔코퍼레이션,066980
508,이지케어텍,099750
509,인바디,041830
510,인선이엔티,060150
511,인포바인,115310
512,인포뱅크,039290
513,잉크테크,049550
514,전진바이오팜,110020
515,정다운,208140
516,제놀루션,225220
517,제일바이오,052670
518,제일제강,023440
519,젬백스지오,041590
520,조이시티,067000
521,중앙디앤엠,051980
522,지니뮤직,043610
523,지니언스,263860
524,지니틱스,303030
525,지란지교시큐리티,208350
526,지유온,111820
527,지티지웰니스,219750
528,참좋은여행,094850
529,천보,278280
530,케이씨피드,025880
531,케이엔더블유,105330
532,코데즈컴바인,047770
533,코드네이처,078940
534,코리아센터,290510
535,코메론,049430
536,코미팜,041960
537,코아시아,045970
538,코웰패션,033290
539,코위버,056360
540,큐라클,365270
541,큐브앤컴퍼니,043090
542,큐브엔터,182360
543,크루셜텍,114120
544,크리스탈지노믹스,083790
545,클리노믹스,352770
547,테고사이언스,191420
548,테라사이언스,073640
549,테라젠이텍스,066700
550,파멥신,208340
551,파수,150900
552,파인디지털,038950
553,팍스넷,038160
554,팬엔터테인먼트,068050
555,펌텍코리아,251970
556,풍강,093380
557,플레이디,237820
558,피에스케이,319660
559,피에스텍,002230
560,피엔티,137400
561,픽셀플러스,087600
562,핌스,347770
563,핑거,163730
564,하나금융14호스팩,332710
565,하나마이크론,067310
566,한국바이오젠,318000
567,한국비엔씨,256840
568,한국정보인증,053300
569,한국코퍼레이션,050540
570,한글과컴퓨터,030520
571,한일단조,024740
572,한일화학,007770
573,한컴MDS,086960
574,현진소재,053660
575,형지I&C,011080
576,휴네시온,290270
577,휴맥스홀딩스,028080
578,흥국에프엔비,189980
594,BGF리테일,282330
595,BNK금융지주,138930
596,GS건설,006360
597,HDC아이콘트롤스,039570
598,KC코트렐,119650
599,MH에탄올,023150
600,SBS,034120
601,SBS미디어홀딩스,101060
602,SG글로벌,001380
603,SHD,001770
604,SH에너지화학,002360
605,SK,034730
606,SK가스,018670
607,SK텔레콤,017670
608,STX중공업,071970
609,YG PLUS,037270
610,국제약품,002720
611,금양,001570
612,금호타이어,073240
613,넥센타이어,002350
614,녹십자홀딩스,005250
615,농심홀딩스,072710
616,다스코,058730
617,대웅제약,069620
618,대한유화,006650
619,더존비즈온,012510
620,덕성,004830
621,도화엔지니어링,002150
622,동방아그로,007590
623,동서,026960
624,동성케미컬,102260
625,동양,001520
626,동양생명,082640
627,디아이,003160
628,디와이,013570
629,롯데정밀화학,004000
630,롯데푸드,002270
631,만도,204320
632,맥쿼리인프라,088980
633,메타랩스,090370
634,모토닉,009680
635,미래에셋맵스리츠,357250
636,미원화학,134380
637,범양건영,002410
638,베트남개발1,096300
639,삼성바이오로직스,207940
640,삼성에스디에스,018260
641,삼성증권,016360
642,삼성카드,029780
643,삼양통상,002170
644,삼영무역,002810
645,삼일제약,000520
646,삼정펄프,009770
647,샘표식품,248170
648,서연이화,200880
649,성보화학,003080
650,세아제강,306200
651,센트랄모텍,308170
652,센트럴인사이트,012600
653,송원산업,004430
654,수산중공업,017550
655,신도리코,029530
656,신성이엔지,011930
657,신세계인터내셔날,031430
658,신세계푸드,031440
659,쌍용C&E,003410
660,씨아이테크,004920
662,아이에스동서,010780
663,애경산업,018250
664,에스엘,005850
665,에이프로젠 MED,007460
666,NHN,181710
667,엠씨넥스,097520
668,유니켐,011330
669,유화증권,003460
670,이구산업,025820
671,이마트,139480
672,일성신약,003120
673,일정실업,008500
674,제이에스코퍼레이션,194370
675,제이준코스메틱,025620
676,조선선재,120030
677,종근당바이오,063160
678,지누스,013890
679,진도,088790
680,진양화학,051630
681,케이탑리츠,145270
682,코스모신소재,005070
683,태경비케이,014580
684,태평양물산,007980
685,테이팩스,055490
686,텔코웨어,078000
687,티와이홀딩스,363280
688,팜스코,036580
689,하이스틸,071090
690,하이트진로,000080
691,한국석유,004090
692,한국수출포장,002200
693,한국자산신탁,123890
694,한국전력,015760
695,한국주강,025890
696,한국콜마홀딩스,024720
697,한국항공우주,047810
698,한라홀딩스,060980
699,한미사이언스,008930
700,한샘,009240
701,한솔홀딩스,004150
702,한신공영,004960
703,한신기계,011700
704,한화에어로스페이스,012450
705,현대퓨처넷,126560
706,효성ITX,094280
707,휴니드,005870
708,IBKS제13호스팩,351340
709,JTC,950170
710,KCC건설,021320
711,KCI,036670
712,KG ETS,151860
713,NEW,160550
714,SBI핀테크솔루션즈,950110
715,SGA솔루션즈,184230
716,SM Life Design,063440
717,WI,073570
718,고려시멘트,198440
719,골드앤에스,035290
720,국일신동,060480
721,국전약품,307750
722,나노신소재,121600
723,나무가,190510
724,나인테크,267320
725,넥스트아이,137940
726,넥슨지티,041140
727,노터스,278650
728,다산네트웍스,039560
729,다원시스,068240
730,대명소노시즌,007720
731,대성미생물,036480
732,대원산업,005710
733,대한광통신,010170
734,더블유에스아이,299170
735,덕신하우징,090410
736,덴티스,261200
737,동국알앤에스,075970
738,동신건설,025950
739,동일기연,032960
740,듀오백,073190
741,디젠스,113810
742,디지아이,043360
743,디지털대성,068930
744,디티앤씨,187220
745,라이트론,069540
746,램테크놀러지,171010
747,레고켐바이오,141080
748,레몬,294140
749,로보스타,090360
750,리더스 기술투자,019570
751,리드코프,012700
752,맥스로텍,141070
753,메디콕스,054180
754,메디포스트,078160
755,미래컴퍼니,049950
756,바이오니아,064550
757,베셀,177350
758,보라티알,250000
759,부방,014470
760,브리지텍,064480
761,비디아이,148140
762,비즈니스온,138580
763,삼영에스앤씨,361670
764,삼진엘앤디,054090
765,삼천리자전거,024950
766,삼현철강,017480
767,서산,079650
768,성우테크론,045300
769,세운메디칼,100700
770,세종텔레콤,036630
771,세코닉스,053450
772,소리바다,053110
773,솔본,035610
774,솔브레인홀딩스,036830
775,수산아이앤티,050960
776,슈펙스비앤피,058530
777,슈피겐코리아,192440
778,스카이이앤엠,131100
779,스포츠서울,039670
780,시공테크,020710
781,시큐브,131090
782,신도기연,290520
783,신테카바이오,226330
784,신흥에스이씨,243840
785,쎄노텍,222420
786,쎄트렉아이,099320
787,씨엠에스에듀,225330
788,씨큐브,101240
789,아모센스,357580
790,아비코전자,036010
791,아스타,246720
792,아이디피,332370
793,아진산업,013310
794,아프리카TV,067160
795,안트로젠,065660
796,알체라,347860
797,알티캐스트,085810
798,애니젠,196300
799,앱클론,174900
800,에스제이그룹,306040
801,에스트래픽,234300
802,에스퓨얼셀,288620
803,에이디칩스,054630
804,에이비엘바이오,298380
805,에이스침대,003800
806,에이치피오,357230
807,에이텍티앤,224110
808,에코플라스틱,038110
809,엑셈,205100
810,엔브이에이치코리아,067570
811,엔지스테크널러지,208860
812,엔지켐생명과학,183490
813,엔케이맥스,182400
814,엔텔스,069410
815,엘디티,096870
816,엘컴텍,037950
817,영림원소프트랩,060850
818,오리엔트정공,065500
819,오스테오닉,226400
820,오텍,067170
821,와이즈버즈,273060
822,원익머트리얼즈,104830
823,원풍,008370
824,웹젠,069080
825,위닉스,044340
826,위메이드,112040
827,유비벨록스,089850
828,유비쿼스,264450
829,유안타제4호스팩,313750
830,유진테크,084370
831,이건홀딩스,039020
832,이노와이어리스,073490
833,이녹스첨단소재,272290
834,이더블유케이,258610
835,이랜텍,054210
836,이수앱지스,086890
837,인산가,277410
838,인성정보,033230
839,인탑스,049070
840,인텔리안테크,189300
841,자이언트스텝,289220
842,재영솔루텍,049630
843,제낙스,065620
844,제이시스메디칼,287410
845,제이앤티씨,204270
846,제이티,089790
847,제주맥주,276730
848,좋은사람들,033340
849,진바이오텍,086060
850,진성티이씨,036890
851,초록뱀미디어,047820
852,카이노스메드,284620
853,캐리소프트,317530
854,캠시스,050110
855,케어젠,214370
856,케이비제18호스팩,323940
857,케이비제19호스팩,330990
858,케이엠더블유,032500
859,케이피에프,024880
860,코디엠,224060
861,코리아에셋투자증권,190650
862,코미코,183300
863,코스맥스엔비티,222040
864,코스메카코리아,241710
865,코아시아옵틱스,196450
866,코이즈,121850
867,키이스트,054780
868,태웅로직스,124560
869,테라셈,182690
870,텔콘RF제약,200230
871,토비스,051360
872,티라유텍,322180
873,티비씨,033830
874,티엘비,356860
875,파나진,046210
876,파버나인,177830
877,파워넷,037030
878,판타지오,032800
879,퓨쳐스트림네트웍스,214270
880,프로텍,053610
881,피에이치씨,057880
882,피에이치에이,043370
883,필옵틱스,161580
884,하나금융16호스팩,343510
885,하이제5호스팩,340120
886,한국정보통신,025770
887,한국제8호스팩,310870
888,한국캐피탈,023760
889,한일네트웍스,046110
890,한화플러스제1호스팩,340440
891,헬릭스미스,084990
892,현우산업,092300
893,휴먼엔,032860
904,AJ네트웍스,095570
905,DL건설,001880
906,DSR제강,069730
907,ESR켄달스퀘어리츠,365550
908,GKL,114090
909,JW중외제약,001060
910,KPX홀딩스,092230
911,KSS해운,044450
912,LG화학,051910
913,LIG넥스원,079550
914,LS,006260
915,LX하우시스,108670
916,NAVER,035420
917,NICE,034310
918,NI스틸,008260
919,SK증권,001510
920,SNT에너지,100840
921,경인양행,012610
922,국보,001140
923,기신정기,092440
924,남선알미늄,008350
925,녹십자,006280
926,대덕,008060
927,대동전자,008110
929,대양금속,009190
930,대원강업,000430
931,대창,012800
932,대한전선,001440
933,동국제강,001230
934,동화약품,000020
935,두산,000150
936,두산밥캣,241560
938,디아이씨,092200
939,롯데관광개발,032350
940,롯데칠성,005300
941,롯데케미칼,011170
942,맵스리얼티1,094800
943,명신산업,009900
944,무학,033920
945,미래아이앤지,007120
946,바다로19호,155900
947,부산산업,011390
948,부산주공,005030
949,사조산업,007160
950,사조씨푸드,014710
951,삼성전자,005930
952,삼성제약,001360
953,삼양사,145990
954,삼원강재,023000
955,삼익THK,004380
956,삼화왕관,004450
957,서연,007860
958,세아특수강,019440
959,세원정공,021820
960,세진중공업,075580
961,셀트리온,068270
962,신성통상,005390
963,신세계,004170
964,써니전자,004770
965,아모레퍼시픽,090430
966,아세아,002030
967,에넥스,011090
969,엔케이,085310
971,영원무역,111770
972,영원무역홀딩스,009970
973,용평리조트,070960
974,우리들휴브레인,118000
975,우신시스템,017370
976,우진플라임,049800
977,유니드,014830
978,유안타증권,003470
980,이건산업,008250
981,이노션,214320
982,이연제약,102460
983,인스코비,006490
984,조광페인트,004910
985,조선내화,000480
986,진에어,272450
987,참엔지니어링,009310
989,코오롱글로벌,003070
990,태경케미컬,006890
991,토니모리,214420
992,퍼시스,016800
993,페이퍼코리아,001020
994,폴루스바이오팜,007630
995,하나제약,293480
996,한국내화,010040
997,한국철강,104700
998,한국화장품제조,003350
999,한미글로벌,053690
1001,한양증권,001750
1002,한일현대시멘트,006390
1003,한진중공업,097230
1004,한진중공업홀딩스,003480
1005,한화,000880
1006,현대일렉트릭,267260
1007,현대제철,004020
1008,화승코퍼레이션,013520
1009,황금에스티,032560
1010,효성첨단소재,298050
1011,DSC인베스트먼트,241520
1012,EG,037370
1013,GST,083450
1014,IBKS제15호스팩,373200
1015,KD,044180
1016,KMH,122450
1017,SDN,099220
1018,SK머티리얼즈,036490
1019,SNK,950180
1020,가비아,079940
1021,감성코퍼레이션,036620
1022,강원,114190
1023,경남스틸,039240
1024,광진윈텍,090150
1025,글로벌텍스프리,204620
1026,글로본,019660
1027,나노,187790
1028,내츄럴엔도텍,168330
1029,네오셈,253590
1030,네오위즈홀딩스,042420
1031,네이블,153460
1032,넥스턴바이오,089140
1033,넥스트BT,065170
1034,뉴프렉스,085670
1035,대성엘텍,025440
1036,대신밸런스제7호스팩,332290
1037,대양전기공업,108380
1038,대원,007680
1039,대한뉴팜,054670
1040,덕산테코피아,317330
1041,덕산하이메탈,077360
1042,동국제약,086450
1043,동진쎄미켐,005290
1044,디바이스이엔지,187870
1045,디알젬,263690
1046,디에스티,033430
1047,라이온켐텍,171120
1048,레이크머티리얼즈,281740
1049,레인보우로보틱스,277810
1050,로지시스,067730
1051,루멘스,038060
1052,링네트,042500
1053,마이크로프랜드,147760
1054,매직마이크로,127160
1055,메가스터디교육,215200
1056,메드팩토,235980
1057,메디톡스,086900
1058,메이슨캐피탈,021880
1059,모바일리더,100030
1060,모베이스전자,012860
1061,모헨즈,006920
1062,미코,059090
1063,민앤지,214180
1064,바른손,018700
1065,바른손이앤에이,035620
1066,바이넥스,053030
1067,바이브컴퍼니,301300
1068,바이온,032980
1069,베노홀딩스,206400
1070,비보존 헬스케어,082800
1071,비에이치아이,083650
1072,사람인에이치알,143240
1073,새로닉스,042600
1074,서연탑메탈,019770
1075,서울반도체,046890
1076,서울전자통신,027040
1077,서원인텍,093920
1078,서진오토모티브,122690
1079,선데이토즈,123420
1080,세중,039310
1081,세틀뱅크,234340
1082,센코,347000
1083,슈프리마에이치큐,094840
1084,스타플렉스,115570
1085,시그네틱스,033170
1086,시노펙스,025320
1087,신원종합개발,017000
1088,신한제7호스팩,366330
1089,씨앤지하이테크,264660
1090,씨티씨바이오,060590
1091,아세아텍,050860
1092,아시아종묘,154030
1093,아우딘퓨쳐스,227610
1094,아이엘사이언스,307180
1095,아이진,185490
1096,아이크래프트,052460
1097,알에스오토메이션,140670
1098,알톤스포츠,123750
1099,알파홀딩스,117670
1100,액션스퀘어,205500
1101,앤씨앤,092600
1102,에스디생명공학,217480
1103,에스씨엠생명과학,298060
1104,에스엔유,080000
1105,에스텍파마,041910
1106,에이스테크,088800
1107,에이치엠씨제5호스팩,353060
1108,에이티세미콘,089530
1109,에이팩트,200470
1110,에이프로젠 H&G,109960
1111,엔시스,333620
1112,엔에스,217820
1113,엔피디,198080
1114,엘앤씨바이오,290650
1115,엘오티베큠,083310
1116,엠브레인,169330
1117,엠투아이,347890
1118,엠플러스,259630
1119,엠피대산,065150
1120,예스24,053280
1121,오가닉티코스메틱,900300
1122,오하임아이엔티,309930
1123,옵트론텍,082210
1124,옵티팜,153710
1125,와이솔,122990
1126,와이아이케이,232140
1127,와이어블,065530
1128,우리로,046970
1129,우리산업홀딩스,072470
1130,우양,103840
1131,우진비앤지,018620
1132,원바이오젠,307280
1133,원익,032940
1134,원익홀딩스,030530
1135,위메이드맥스,101730
1136,유성티엔에스,024800
1137,유에스티,263770
1138,유진스팩6호,373340
1139,이루온,065440
1140,이브이첨단소재,131400
1141,이엔에프테크놀로지,102710
1142,이엘피,063760
1143,이엠앤아이,083470
1144,이트론,096040
1145,인터파크,035080
1146,자안바이오,221610
1147,제너셈,217190
1148,제노레이,122310
1149,제로투세븐,159580
1150,제룡전기,033100
1151,젬백스,082270
1152,칩스앤미디어,094360
1153,컴퍼니케이,307930
1154,케이사인,192250
1155,케이씨에스,115500
1156,케이아이엔엑스,093320
1157,켐온,217600
1158,코세스,089890
1159,코엔텍,029960
1160,코텍,052330
1161,콜마비앤에이치,200130
1162,쿠콘,294570
1163,큐캐피탈,016600
1164,크리스에프앤씨,110790
1165,타이거일렉,219130
1166,태광,023160
1167,티로보틱스,117730
1168,티엘아이,062860
1169,파라다이스,034230
1170,파인디앤씨,049120
1171,파인텍,131760
1172,파크시스템스,140860
1173,펩트론,087010
1174,포스코 ICT,022100
1175,폴라리스우노,114630
1176,폴라리스웍스,123010
1177,풍국주정,023900
1178,퓨쳐켐,220100
1179,프리시젼바이오,335810
1180,피씨디렉트,051380
1181,피에스케이홀딩스,031980
1182,피엔에이치테크,239890
1183,피엔케이피부임상연구센타,347740
1184,피플바이오,304840
1185,하나머티리얼즈,166090
1186,하이로닉,149980
1187,하이소닉,106080
1188,한국유니온제약,080720
1189,한국컴퓨터,054040
1190,한송네오텍,226440
1191,한일사료,005860
1192,헝셩그룹,900270
1193,화일약품,061250
1194,효성오앤비,097870
1195,휴럼,353190
1196,휴온스,243070
1197,휴젤,145020
1211,AK홀딩스,006840
1212,CJ,001040
1213,CJ씨푸드,011150
1214,DB금융투자,016610
1215,DGB금융지주,139130
1216,DL,000210
1217,HDC,012630
1218,KISCO홀딩스,001940
1219,KTB투자증권,030210
1220,LG,003550
1221,LG디스플레이,034220
1222,LX인터내셔널,001120
1223,NH프라임리츠,338100
1224,S-Oil,010950
1225,SK네트웍스,001740
1226,SK케미칼,285130
1227,SK하이닉스,000660
1228,SNT모티브,064960
1229,계룡건설,013580
1230,고려아연,010130
1231,남양유업,003920
1232,남해화학,025860
1233,노루페인트,090350
1234,대상,001680
1235,대성에너지,117580
1236,대성홀딩스,016710
1237,대한제강,084010
1238,동원산업,006040
1239,두산퓨얼셀,336260
1240,만호제강,001080
1241,모나미,005360
1242,문배철강,008420
1243,미창석유,003650
1244,백광산업,001340
1245,벽산,007210
1246,부국철강,026940
1248,비비안,002070
1249,비상교육,100220
1250,삼부토건,001470
